epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,1.7670797576075015,40.654,1.6126720702648163,51.51
1,1.3803169480370134,60.44,1.401435968875885,60.71
2,1.2047955247447313,69.236,1.2667154693603515,67.02
3,1.098864904754912,74.474,1.0667044335603715,75.96
4,1.0453609688507626,76.806,1.0392134284973145,76.95
5,0.9988479144737848,79.012,1.024067291021347,77.82
6,0.969949169384549,80.424,0.9691872674226761,80.28
7,0.9412911653213794,81.63,0.8959642952680588,83.31
8,0.9227358230849361,82.628,0.927943953871727,81.5
9,0.9052661198484319,83.242,0.9234337723255157,81.58
10,0.8831291724653805,84.32,0.8801931667327881,83.92
11,0.8761698577715002,84.582,0.8498306506872177,85.41
12,0.8559786098082657,85.304,0.8664772206544876,84.48
13,0.8446505944747145,85.91,0.8812329375743866,83.69
14,0.8356645749048199,86.362,0.8765088897943497,84.5
15,0.8276794845490809,86.91,0.8600297713279724,84.69
16,0.8183184737134772,87.296,0.9280172520875931,82.55
17,0.8056617427969832,87.726,0.821904119849205,86.35
18,0.8008734475621178,87.988,0.8554514384269715,84.75
19,0.7941986015995445,88.434,0.8509781163930893,84.85
20,0.7833028630832272,88.828,0.8099694728851319,87.07
21,0.7791161771930392,89.022,0.8103946334123612,86.84
22,0.7738409153640727,89.17,0.7949644166231156,87.84
23,0.766338113933573,89.578,0.8613221722841263,85.45
24,0.7596507165438074,89.83,0.8084993481636047,87.59
25,0.7496819127246243,90.35,0.7980539798736572,87.8
26,0.7409299842232023,90.802,0.8056931537389755,87.59
27,0.7372431454756071,90.834,0.7461065018177032,89.72
28,0.7285930105792288,91.288,0.7648412245512008,89.11
29,0.7224131755511779,91.562,0.7715168660879135,88.77
30,0.7135444137141528,91.864,0.7726192253828049,88.89
31,0.7098832359094449,91.996,0.7971782928705216,87.55
32,0.7001752670463699,92.424,0.7707738173007965,89.42
33,0.693038472129256,92.864,0.7525075799226761,89.87
34,0.6909944445580778,92.978,0.7430680119991302,90.16
35,0.6830263305503084,93.132,0.7235342419147491,90.84
36,0.6772605848434331,93.524,0.732269040942192,90.54
37,0.6667009910659107,93.844,0.7868579268455506,88.79
38,0.6667730119222265,93.876,0.7891141420602799,88.45
39,0.6593858224656576,94.218,0.719056025147438,91.11
40,0.6536185369467187,94.412,0.7327314859628677,90.49
41,0.6471751955768946,94.7,0.717888075709343,91.35
42,0.6424586891823107,94.948,0.7344994729757309,90.61
43,0.6396038699942781,94.978,0.7216112220287323,90.86
44,0.6342260320778088,95.268,0.7191200107336044,91.09
45,0.6278358380812818,95.524,0.7442741668224335,90.18
46,0.6262123853044437,95.572,0.7070052719116211,91.73
47,0.6223503759754893,95.762,0.705437124967575,91.93
48,0.6176827094134163,95.858,0.7169613587856293,91.17
49,0.608619165694927,96.228,0.7218324345350265,91.28
50,0.6069559896998393,96.364,0.7177122741937637,91.6
51,0.6024985250914493,96.58,0.7184800279140472,91.79
52,0.6019508209069977,96.544,0.7058550423383713,91.81
53,0.5943522893864176,96.832,0.7110234892368317,91.66
54,0.5925707989336585,96.954,0.697957004904747,92.48
55,0.5875483080554191,97.184,0.7095316874980927,92.19
56,0.5834966466554901,97.27,0.7166344660520554,91.74
57,0.5776633448003198,97.518,0.7253637045621872,91.42
58,0.5767142130895648,97.54,0.6905552327632904,92.73
59,0.5734970004052458,97.672,0.694806272983551,92.48
60,0.5714268440480732,97.826,0.6937555497884751,92.61
61,0.565959138333645,97.982,0.6874192804098129,92.65
62,0.5632630575953237,98.072,0.6964938938617706,92.53
63,0.5621711712359162,98.11,0.702166543006897,92.42
64,0.5578047863357817,98.31,0.6887872540950775,92.95
65,0.5544987776700188,98.436,0.7001661735773087,92.42
66,0.5527975876313036,98.518,0.6870533466339112,93.04
67,0.5491668164272747,98.682,0.6830065757036209,92.77
68,0.5468494600957007,98.742,0.6857479518651962,92.8
69,0.5434751888675153,98.902,0.6860678267478942,93.06
70,0.5423164811280682,98.892,0.6901084947586059,92.95
71,0.5415795544529205,98.946,0.685407304763794,92.91
72,0.5396607911495297,98.98,0.6876841282844544,93.0
73,0.5375991349330034,99.096,0.679787455201149,93.28
74,0.5354848488822312,99.152,0.6801752227544785,93.4
75,0.5341706843022496,99.232,0.6801020288467408,93.11
76,0.5330320907675702,99.282,0.6838146388530731,93.24
77,0.5314512292442419,99.32,0.6833490818738938,93.19
78,0.5299511984790988,99.404,0.6918044513463975,93.07
79,0.5284614541646465,99.458,0.689533662199974,93.24
80,0.5273862868318777,99.506,0.6889259105920792,93.38
81,0.5272374512899257,99.462,0.6805374729633331,93.59
82,0.5246889781768974,99.614,0.6797812139987945,93.49
83,0.5236942159855152,99.616,0.6815880990028381,93.56
84,0.5226119113395281,99.682,0.6809638148546219,93.63
85,0.5224802321790124,99.66,0.6779001396894455,93.62
86,0.5220011780633951,99.692,0.6780900275707245,93.67
87,0.5212860715663646,99.714,0.6818651235103608,93.53
88,0.5212114153005888,99.708,0.6794252991676331,93.63
89,0.5200548873228186,99.758,0.6817826950550079,93.69
90,0.5199345004223191,99.744,0.6789489537477493,93.56
91,0.5191339466273023,99.786,0.681249447464943,93.58
92,0.51917297090106,99.76,0.6778121489286423,93.69
93,0.519592824951767,99.764,0.679518392086029,93.69
94,0.5192677034136585,99.774,0.6772058194875717,93.7
95,0.51859907939306,99.814,0.6777387237548829,93.6
96,0.5186268882373409,99.802,0.6790637415647507,93.72
97,0.5184922642110253,99.798,0.6773356801271438,93.79
98,0.518044317927202,99.84,0.6778796029090881,93.64
99,0.5182946283189233,99.828,0.6797587245702743,93.6
